"","Token","n"
"2792","hablábar",188
"2793","hostigar",188
"2794","in",188
"2795","negra",188
"2796","presencial",188
"2797","presuntamente",188
"2798","ad",187
"2799","atentar",187
"2800","atrasado",187
"2801","cono",187
"2802","pozo",187
"2803","simulacro",187
"2804","solano",187
"2805","sufrido",187
"2806","tráfico",187
"2807","támara",187
"2808","usualmente",187
"2809","acreditación",186
"2810","amplio",186
"2811","cero",186
"2812","cóm",186
"2813","entienda",186
"2814","fácilmente",186
"2815","nombra",186
"2816","poblador",186
"2817","repartir",186
"2818","ávila",186
"2819","adquirir",185
"2820","aprobación",185
"2821","habitación",185
"2822","identificarse",185
"2823","indagación",185
"2824","reemplazo",185
"2825","sexto",185
"2826","subí",185
"2827","supremamente",185
"2828","tente",185
"2829","volto",185
"2830","costumbre",184
"2831","descargar",184
"2832","ho",184
"2833","imagínr",184
"2834","indisciplina",184
"2835","individuo",184
"2836","moncayo",184
"2837","particularidad",184
"2838","quecán",184
"2839","requería",184
"2840","soltar",184
"2841","suacha",184
"2842","dejarlo",183
"2843","esconder",183
"2844","excúsemer",183
"2845","implicado",183
"2846","llame",183
"2847","recordarle",183
"2848","rio",183
"2849","rotar",183
"2850","vacío",183
"2851","bello",182
"2852","engañar",182
"2853","haberle",182
"2854","implementar",182
"2855","investigador",182
"2856","notificar",182
"2857","octavo",182
"2858","recogir",182
"2859","regulada",182
"2860","vecino",182
"2861","vuelvar",182
"2862","brazo",181
"2863","buitrago",181
"2864","clasificación",181
"2865","fin",181
"2866","local",181
"2867","vice",181
"2868","vo",181
"2869","ana",180
"2870","asignación",180
"2871","bastante",180
"2872","brevemente",180
"2873","cabanilla",180
"2874","cair",180
"2875","castañeda",180
"2876","demandar",180
"2877","entrevistar",180
"2878","meder",180
"2879","respectiva",180
"2880","unir",180
"2881","afán",179
"2882","alejado",179
"2883","atila",179
"2884","comunitario",179
"2885","custodia",179
"2886","documental",179
"2887","pierna",179
"2888","porcentaje",179
"2889","suaza",179
"2890","tamb",179
"2891","tanque",179
"2892","acercamiento",178
"2893","articulación",178
"2894","aérea",178
"2895","cansado",178
"2896","ender",178
"2897","fonseca",178
"2898","incurrir",178
"2899","lación",178
"2900","llamém",178
"2901","llamémoslo",178
"2902","poro",178
"2903","samir",178
"2904","sensación",178
"2905","darnos",177
"2906","disminuir",177
"2907","internet",177
"2908","juego",177
"2909","menciono",177
"2910","pan",177
"2911","pronunciar",177
"2912","proyectar",177
"2913","póngalir",177
"2914","amnistia",176
"2915","antioqueño",176
"2916","beltr",176
"2917","fidel",176
"2918","materialización",176
"2919","mula",176
"2920","omar",176
"2921","pare",176
"2922","popayán",176
"2923","re",176
"2924","salvo",176
"2925","aprendido",175
"2926","escogía",175
"2927","explicarle",175
"2928","extracto",175
"2929","hurtado",175
"2930","iar",175
"2931","lectura",175
"2932","lozado",175
"2933","movilizado",175
"2934","paramillo",175
"2935","pastrana",175
"2936","quizá",175
"2937","tristeza",175
"2938","acander",174
"2939","daver",174
"2940","disculpar",174
"2941","obstante",174
"2942","sospechoso",174
"2943","suelto",174
"2944","transmisión",174
"2945","vulnerabilidad",174
"2946","cuat",173
"2947","curva",173
"2948","dígalir",173
"2949","esquema",173
"2950","gu",173
"2951","herramienta",173
"2952","incidencia",173
"2953","leo",173
"2954","magistrada",173
"2955","maraña",173
"2956","programado",173
"2957","sucesivamente",173
"2958","tenerlo",173
"2959","bomba",172
"2960","cortarse",172
"2961","duraderar",172
"2962","enseñar-",172
"2963","herida",172
"2964","interpretar",172
"2965","pedazo",172
"2966","sufrimiento",172
"2967","toar",172
"2968","vacuna",172
"2969","volvimo",172
"2970","abastecer",171
"2971","alimento",171
"2972","bucaramanga",171
"2973","componer",171
"2974","convivir",171
"2975","cuéntemer",171
"2976","emitido",171
"2977","evidentemente",171
"2978","haberme",171
"2979","litros",171
"2980","maltrato",171
"2981","movilización",171
"2982","partido",171
"2983","prar",171
"2984","ratificar",171
"2985","recuerden",171
"2986","sacarlo",171
"2987","tablero",171
"2988","tirado",171
"2989","aparentemente",170
"2990","elr",170
"2991","mono",170
"2992","pedirles",170
"2993","probable",170
"2994","psicológico",170
"2995","pulido",170
"2996","quierar",170
"2997","recopilar",170
"2998","titular",170
"2999","transitorio",170
"3000","académico",169
"3001","asesora",169
"3002","conferido",169
"3003","debidamente",169
"3004","impunidad",169
"3005","municipal",169
"3006","arar",168
"3007","consumir",168
"3008","entrego",168
"3009","felicitar-",168
"3010","indirectamente",168
"3011","integrado",168
"3012","lar",168
"3013","preparatoria",168
"3014","requisar",168
"3015","roque",168
"3016","salazar",168
"3017","sorprender",168
"3018","verlo",168
"3019","éxito",168
"3020","alejar",167
"3021","arrepentido",167
"3022","brusela",167
"3023","centrar",167
"3024","ceremonia",167
"3025","complejar",167
"3026","distrito",167
"3027","especificar",167
"3028","explicarar",167
"3029","influir",167
"3030","laboratorio",167
"3031","leticia",167
"3032","oro",167
"3033","rayo",167
"3034","unida",167
"3035","valioso",167
"3036","vill",167
"3037","analizado",166
"3038","apertura",166
"3039","bajito",166
"3040","engañado",166
"3041","indirecta",166
"3042","pereira",166
"3043","solidaridad",166
"3044","tocado",166
"3045","asistencia",165
"3046","curiosidad",165
"3047","extender",165
"3048","hub",165
"3049","joyar",165
"3050","navidad",165
"3051","ponerme",165
"3052","ponerse",165
"3053","tendríar",165
"3054","alcanzo",164
"3055","consanguinidad",164
"3056","contestarse",164
"3057","continuarer",164
"3058","continuer",164
"3059","dirigirse",164
"3060","honrar",164
"3061","impedir",164
"3062","magist",164
"3063","palestina",164
"3064","ramon",164
"3065","rostro",164
"3066","ado",163
"3067","dimensión",163
"3068","doble",163
"3069","esporádico",163
"3070","feur",163
"3071","manej",163
"3072","requirir",163
"3073","salgar",163
"3074","coordinador",162
"3075","empecer",162
"3076","habl",162
"3077","harto",162
"3078","interpretación",162
"3079","involucramiento",162
"3080","izquierdo",162
"3081","limpiar",162
"3082","quedarse",162
"3083","raya",162
"3084","ruido",162
"3085","sigar",162
"3086","soportar",162
"3087","andrea",161
"3088","corosal",161
"3089","creíble",161
"3090","cumplí",161
"3091","enfermo",161
"3092","maestrado",161
"3093","mentir",161
"3094","metí",161
"3095","micel",161
"3096","montado",161
"3097","ocaña",161
"3098","brisa",160
"3099","cí",160
"3100","desvirtuar",160
"3101","estab",160
"3102","excepción",160
"3103","ilegalidad",160
"3104","internar",160
"3105","mon",160
"3106","ovidio",160
"3107","personero",160
"3108","priorizado",160
"3109","sencillo",160
"3110","suplente",160
"3111","acordarme",159
"3112","and",159
"3113","arhuaco",159
"3114","asalto",159
"3115","cuestionar",159
"3116","diciéndole",159
"3117","estadía",159
"3118","estu",159
"3119","novia",159
"3120","pagado",159
"3121","valcitar",159
"3122","aclaro",158
"3123","alta",158
"3124","criptógrafo",158
"3125","daría",158
"3126","desmovilizar",158
"3127","destino",158
"3128","elo",158
"3129","inform",158
"3130","método",158
"3131","periódico",158
"3132","aro",157
"3133","bestia",157
"3134","ble",157
"3135","chagua",157
"3136","felicitaban",157
"3137","landín",157
"3138","limitar",157
"3139","nariño",157
"3140","obtención",157
"3141","plataforma",157
"3142","señ",157
"3143","vergüenza",157
"3144","veíar",157
"3145","aislado",156
"3146","chibat",156
"3147","chigorodar",156
"3148","contarle",156
"3149","horario",156
"3150","iván",156
"3151","julián",156
"3152","mentiroso",156
"3153","miento",156
"3154","mármol",156
"3155","simulación",156
"3156","suceso",156
"3157","título",156
"3158","ánimo",156
"3159","basar",155
"3160","beneficiario",155
"3161","cafetal",155
"3162","carreño",155
"3163","casita",155
"3164","complemento",155
"3165","concreta",155
"3166","desplegar",155
"3167","granadero",155
"3168","misionalidad",155
"3169","operacióne",155
"3170","ponerlo",155
"3171","rabiar",155
"3172","renovar",155
"3173","torrer",155
"3174","vulnerable",155
"3175","chaleco",154
"3176","cuota",154
"3177","cuyo",154
"3178","desarmado",154
"3179","detectado",154
"3180","estuviérar",154
"3181","falsa",154
"3182","gordo",154
"3183","guarnizo",154
"3184","huir",154
"3185","letrar",154
"3186","parar-",154
"3187","saltar",154
"3188","causal",153
"3189","ciencia",153
"3190","embarcar",153
"3191","encubrir",153
"3192","jef",153
"3193","judicialización",153
"3194","mensualmente",153
"3195","origen",153
"3196","pila",153
"3197","soler",153
"3198","sábado",153
"3199","zapato",153
"3200","apariencia",152
"3201","arpía",152
"3202","auxilio",152
"3203","cancamo",152
"3204","conar",152
"3205","consignado",152
"3206","constantemente",152
"3207","definitivamente",152
"3208","denunciado",152
"3209","fu",152
"3210","guante",152
"3211","guaviare",152
"3212","ión",152
"3213","jaimes",152
"3214","polígrafo",152
"3215","pued",152
"3216","sancionar",152
"3217","serio",152
"3218","tío",152
"3219","álvaro",152
"3220","aar",151
"3221","avalar",151
"3222","comparecencia",151
"3223","constatar",151
"3224","disciplinado",151
"3225","dora",151
"3226","espitia",151
"3227","facilidad",151
"3228","identifico",151
"3229","imputación",151
"3230","incorporación",151
"3231","interacción",151
"3232","literal",151
"3233","montar-",151
"3234","mor",151
"3235","pe",151
"3236","rendón",151
"3237","resguardo",151
"3238","subordinar",151
"3239","suelo",151
"3240","atrocidad",150
"3241","cab",150
"3242","enfermedad",150
"3243","equivocar",150
"3244","escopetar",150
"3245","evacuar",150
"3246","furet",150
"3247","haer",150
"3248","hogar",150
"3249","lesión",150
"3250","masculino",150
"3251","metodología",150
"3252","montañoso",150
"3253","pasamontaña",150
"3254","páez",150
"3255","recogido",150
"3256","salvar",150
"3257","solicitarle",150
"3258","sometir",150
"3259","vicencio",150
"3260","alma",149
"3261","anaconar",149
"3262","anterioridad",149
"3263","atacado",149
"3264","contento",149
"3265","elaborado",149
"3266","empleado",149
"3267","explique",149
"3268","oral",149
"3269","ordenar-",149
"3270","reclamo",149
"3271","reconciliación",149
"3272","requer",149
"3273","suministrada",149
"3274","supervisar",149
"3275","suspensión",149
"3276","acopio",148
"3277","circuito",148
"3278","constitutivo",148
"3279","entrarar",148
"3280","esperer",148
"3281","incumplimiento",148
"3282","marcha",148
"3283","matarlo",148
"3284","nombr",148
"3285","pecho",148
"3286","presupuesto",148
"3287","relator",148
"3288","rivo",148
"3289","sospechar",148
"3290","tuango",148
"3291","votar",148
"3292","anunciar",147
"3293","cable",147
"3294","connotación",147
"3295","enterarse",147
"3296","imponer",147
"3297","justificación",147
"3298","ovo",147
"3299","personalidad",147
"3300","señorita",147
"3301","alrededor",146
"3302","apunte",146
"3303","autoidentificar",146
"3304","emplear",146
"3305","fabio",146
"3306","firmo",146
"3307","fr",146
"3308","llover",146
"3309","pesado",146
"3310","platón",146
"3311","termine",146
"3312","vainilla",146
"3313","yar",146
"3314","allanamiento",145
"3315","almorzar",145
"3316","balsilla",145
"3317","decoración",145
"3318","divisionario",145
"3319","ferney",145
"3320","inciso",145
"3321","retornar",145
"3322","salina",145
"3323","sistemático",145
"3324","tom",145
"3325","agenda",144
"3326","cajar",144
"3327","cautelar",144
"3328","danilo",144
"3329","descrito",144
"3330","indique",144
"3331","ll",144
"3332","molestar",144
"3333","preocupado",144
"3334","salto",144
"3335","sepulturero",144
"3336","sexo",144
"3337","terrestre",144
"3338","traje",144
"3339","tramitar",144
"3340","aportado",143
"3341","caño",143
"3342","cónsul",143
"3343","jueve",143
"3344","puntualizar",143
"3345","recuperación",143
"3346","respondo",143
"3347","retención",143
"3348","retenida",143
"3349","saco",143
"3350","trámite",143
"3351","ultimar",143
"3352","villar",143
"3353","agudelo",142
"3354","argentino",142
"3355","arizar",142
"3356","carecer",142
"3357","citación",142
"3358","detectivar",142
"3359","enfoque",142
"3360","evaluada",142
"3361","evangelista",142
"3362","girardo",142
"3363","inicié",142
"3364","llevábar",142
"3365","londoño",142
"3366","petrolero",142
"3367","plaza",142
"3368","reconstruir",142
"3369","represente",142
"3370","ruta",142
"3371","salierar",142
"3372","suerte",142
"3373","aclare",141
"3374","alfredo",141
"3375","articular",141
"3376","atribución",141
"3377","carolina",141
"3378","coloqué",141
"3379","conectividad",141
"3380","confunder",141
"3381","desafío",141
"3382","distinguido",141
"3383","generado",141
"3384","gris",141
"3385","haa",141
"3386","hacerla",141
"3387","llegábar",141
"3388","proporcionalidad",141
"3389","santana",141
"3390","sudaderar",141
"3391","tambén",141
"3392","apodo",140
"3393","asuyo",140
"3394","cer",140
"3395","conllevar",140
"3396","delinquer",140
"3397","grupito",140
"3398","indudablemente",140
"3399","jacobo",140
"3400","magnitud",140
"3401","pedacito",140
"3402","popular",140
"3403","referirme",140
"3404","sr",140
"3405","buo",139
"3406","ch",139
"3407","constir",139
"3408","creación",139
"3409","delgado",139
"3410","descubrir",139
"3411","expuesto",139
"3412","her",139
"3413","hi",139
"3414","mandato",139
"3415","marcolino",139
"3416","ocurr",139
"3417","pudiérar",139
"3418","robo",139
"3419","sentimiento",139
"3420","separado",139
"3421","abandonar",138
"3422","archivar",138
"3423","ariporo",138
"3424","bejarano",138
"3425","bustamante",138
"3426","consolidar",138
"3427","contrar",138
"3428","desplegado",138
"3429","diferenciado",138
"3430","echar-",138
"3431","ejecutiva",138
"3432","guardado",138
"3433","jalar",138
"3434","liderar",138
"3435","notarse",138
"3436","oeda",138
"3437","responda",138
"3438","riguroso",138
"3439","soldad",138
"3440","visibilidad",138
"3441","aa",137
"3442","contemplar",137
"3443","corresponda",137
"3444","costado",137
"3445","discrecional",137
"3446","dror",137
"3447","existido",137
"3448","liderazgo",137
"3449","relevancia",137
"3450","rápidamente",137
"3451","sala",137
"3452","trabajadora",137
"3453","aeropuerto",136
"3454","delegar",136
"3455","emitía",136
"3456","escuche",136
"3457","formalmente",136
"3458","fútbol",136
"3459","person",136
"3460","reducir",136
"3461","terminal",136
"3462","voltear",136
"3463","afecto",135
"3464","antena",135
"3465","caguán",135
"3466","caucho",135
"3467","corregir",135
"3468","cot",135
"3469","desprender",135
"3470","dictar",135
"3471","especialización",135
"3472","fabi",135
"3473","felipe",135
"3474","gastado",135
"3475","guiar",135
"3476","impresión",135
"3477","limpieza",135
"3478","médicar",135
"3479","obligatorio",135
"3480","pasado",135
"3481","poderlo",135
"3482","presto",135
"3483","remitido",135
"3484","bermúdez",134
"3485","cerrada",134
"3486","devuelvo",134
"3487","digital",134
"3488","entorno",134
"3489","funcional",134
"3490","init",134
"3491","intangible",134
"3492","procesado",134
"3493","públicamente",134
"3494","sanar",134
"3495","aval",133
"3496","cesar",133
"3497","cuadrado",133
"3498","destapada",133
"3499","ento",133
"3500","esper",133
"3501","fungir",133
"3502","instalado",133
"3503","polígono",133
"3504","propiamente",133
"3505","richard",133
"3506","suministrado",133
"3507","valdivia",133
"3508","abstener",132
"3509","barrero",132
"3510","chiva",132
"3511","comand",132
"3512","confesar",132
"3513","conveniente",132
"3514","discoteca",132
"3515","dándole",132
"3516","med",132
"3517","montaje",132
"3518","múltiple",132
"3519","natural",132
"3520","oiso",132
"3521","pagarle",132
"3522","rogar",132
"3523","alg",131
"3524","auxiliador",131
"3525","botar",131
"3526","buesaquillo",131
"3527","casualidad",131
"3528","chacón",131
"3529","correspondar",131
"3530","debida",131
"3531","escucharlo",131
"3532","generalizado",131
"3533","guadalupe",131
"3534","inconsistencia",131
"3535","molina",131
"3536","monta",131
"3537","nocturno",131
"3538","recib",131
"3539","sab",131
"3540","significativo",131
"3541","simultáneo",131
"3542","velázquez",131
"3543","canada",130
"3544","cancha",130
"3545","distante",130
"3546","probatorio",130
"3547","recolección",130
"3548","referenciado",130
"3549","relacionamiento",130
"3550","transitar",130
"3551","asustar",129
"3552","comprensión",129
"3553","césped",129
"3554","externo",129
"3555","formado",129
"3556","llev",129
"3557","mintir",129
"3558","muver",129
"3559","negociación",129
"3560","privación",129
"3561","recir",129
"3562","recordatorio",129
"3563","sanabria",129
"3564","viable",129
"3565","afueras",128
"3566","catatumbo",128
"3567","consecución",128
"3568","consumo",128
"3569","corriente",128
"3570","difundir",128
"3571","escapa",128
"3572","incidir",128
"3573","instruir",128
"3574","lamentable",128
"3575","marcado",128
"3576","materializar",128
"3577","mona",128
"3578","mosquera",128
"3579","mérito",128
"3580","nieto",128
"3581","paguay",128
"3582","poderle",128
"3583","preferir",128
"3584","respondiente",128
"3585","tigre",128
"3586","torturar",128
"3587","urama",128
"3588","acuña",127
"3589","bien",127
"3590","branza",127
"3591","camila",127
"3592","centralidad",127
"3593","debíar",127
"3594","dedo",127
"3595","discurso",127
"3596","dragón",127
"3597","drct",127
"3598","envío",127
"3599","flujo",127
"3600","macarena",127
"3601","pelo",127
"3602","prevención",127
"3603","rotación",127
"3604","ría",127
"3605","ventaja",127
"3606","argo",126
"3607","aterrizar",126
"3608","bolaño",126
"3609","cajón",126
"3610","caliente",126
"3611","cerveza",126
"3612","diseñar",126
"3613","doloso",126
"3614","entenderse",126
"3615","experto",126
"3616","firmara",126
"3617","herme",126
"3618","incumplar",126
"3619","limpio",126
"3620","manco",126
"3621","mirer",126
"3622","much",126
"3623","oponer",126
"3624","pa",126
"3625","paraco",126
"3626","sobrevivir",126
"3627","terrible",126
"3628","too",126
"3629","amado",125
"3630","continur",125
"3631","contradicción",125
"3632","cuadra",125
"3633","cuestionamiento",125
"3634","decreto",125
"3635","der",125
"3636","detención",125
"3637","fosa",125
"3638","hermoso",125
"3639","implemento",125
"3640","personaje",125
"3641","presidencia",125
"3642","proced",125
"3643","quisierar",125
"3644","relevado",125
"3645","sobreviviente",125
"3646","suente",125
"3647","tobar",125
"3648","urar",125
"3649","valero",125
"3650","vigencia",125
"3651","áar",125
"3652","abigada",124
"3653","acordado",124
"3654","ambos",124
"3655","aproximación",124
"3656","archivado",124
"3657","confiable",124
"3658","dama",124
"3659","diariamente",124
"3660","finanzas",124
"3661","jaser",124
"3662","minutico",124
"3663","perseguir",124
"3664","proferido",124
"3665","tendiente",124
"3666","tuviérar",124
"3667","volqueta",124
"3668","abuelo",123
"3669","ayudarar",123
"3670","ba",123
"3671","conducción",123
"3672","gasolina",123
"3673","grajal",123
"3674","hostilidad",123
"3675","indicarnos",123
"3676","miércol",123
"3677","quitado",123
"3678","salado",123
"3679","visible",123
"3680","advertencia",122
"3681","amente",122
"3682","arbolito",122
"3683","asesino",122
"3684","competir",122
"3685","complementario",122
"3686","creada",122
"3687","detallar",122
"3688","grabar",122
"3689","limitado",122
"3690","obrar",122
"3691","paro",122
"3692","pelea",122
"3693","sergio",122
"3694","solución",122
"3695","urquina",122
"3696","victimario",122
"3697","vinculación",122
"3698","alegre",121
"3699","americano",121
"3700","aú",121
"3701","bienvenida",121
"3702","cojar",121
"3703","concentración",121
"3704","confirmo",121
"3705","inversión",121
"3706","ladrón",121
"3707","leandro",121
"3708","legitimidad",121
"3709","lenguaje",121
"3710","macro",121
"3711","masivo",121
"3712","omisión",121
"3713","patria",121
"3714","restauración",121
"3715","sustancia",121
"3716","arreglar",120
"3717","asim",120
"3718","baño",120
"3719","coo",120
"3720","dctor",120
"3721","expedido",120
"3722","hola",120
"3723","mongolia",120
"3724","propiedad",120
"3725","someterse",120
"3726","vigilancia",120
"3727","villega",120
"3728","absoluto",119
"3729","administrativamente",119
"3730","autor",119
"3731","bala",119
"3732","balboa",119
"3733","cafetero",119
"3734","caminamo",119
"3735","composición",119
"3736","contraría",119
"3737","culmar",119
"3738","elente",119
"3739","histórico",119
"3740","interviner",119
"3741","licencia",119
"3742","ningú",119
"3743","peloton",119
"3744","rubio",119
"3745","salvedad",119
"3746","sugerencia",119
"3747","aportarse",118
"3748","casual",118
"3749","cito",118
"3750","concentrado",118
"3751","conteo",118
"3752","deción",118
"3753","entendería",118
"3754","hilo",118
"3755","iniciado",118
"3756","irno",118
"3757","llamen",118
"3758","manipular",118
"3759","mocoa",118
"3760","ne",118
"3761","oper",118
"3762","perdir",118
"3763","promoción",118
"3764","qued",118
"3765","reglar",118
"3766","subversión",118
"3767","timaná",118
"3768","vayar",118
"3769","verifico",118
"3770","amar",117
"3771","asignada",117
"3772","cerrito",117
"3773","colocarle",117
"3774","consagrar",117
"3775","consulto",117
"3776","convencer",117
"3777","cular",117
"3778","cuántar",117
"3779","estatal",117
"3780","impuesta",117
"3781","jo",117
"3782","modelo",117
"3783","plástico",117
"3784","presentarme",117
"3785","problemático",117
"3786","procedo",117
"3787","sero",117
"3788","tender",117
"3789","agarrar",116
"3790","alistir",116
"3791","am",116
"3792","atroz",116
"3793","bolsillo",116
"3794","castaño",116
"3795","coincidencia",116
"3796","confundido",116
"3797","convencido",116
"3798","corrigir",116
"3799","corso",116
"3800","culpable",116
"3801","energía",116
"3802","entiendar",116
"3803","entrecortado",116
"3804","esporádicamente",116
"3805","exigente",116
"3806","global",116
"3807","insurgente",116
"3808","lamento",116
"3809","mateo",116
"3810","mental",116
"3811","oportuno",116
"3812","panfleto",116
"3813","perd",116
"3814","presumir",116
"3815","reciente",116
"3816","recuer",116
"3817","utilidad",116
"3818","bicicleta",115
"3819","buscarlo",115
"3820","certificación",115
"3821","convicción",115
"3822","corríjame",115
"3823","culma",115
"3824","descanse",115
"3825","disfrutar",115
"3826","eventual",115
"3827","guevarar",115
"3828","ideal",115
"3829","placa",115
"3830","portador",115
"3831","pregun",115
"3832","prima",115
"3833","restablecer",115
"3834","sabano",115
"3835","siguer",115
"3836","vaca",115
"3837","valga",115
"3838","ajuste",114
"3839","ak",114
"3840","avendaño",114
"3841","barranco",114
"3842","caballero",114
"3843","caracterizar",114
"3844","envié",114
"3845","forense",114
"3846","fortaleza",114
"3847","hacerles",114
"3848","interinstitucional",114
"3849","levantado",114
"3850","mentalidad",114
"3851","pasaje",114
"3852","pelot",114
"3853","piscina",114
"3854","reducido",114
"3855","render",114
"3856","revisado",114
"3857","socorro",114
"3858","suspendido",114
"3859","sustento",114
"3860","totalidad",114
"3861","vestir",114
"3862","vital",114
"3863","vocería",114
"3864","alarma",113
"3865","aluno",113
"3866","asumía",113
"3867","at",113
"3868","candela",113
"3869","carpa",113
"3870","defensorir",113
"3871","esencial",113
"3872","estarer",113
"3873","generación",113
"3874","indíqueno",113
"3875","lisarazo",113
"3876","omitir",113
"3877","pausa",113
"3878","plomo",113
"3879","prestarle",113
"3880","segurar",113
"3881","sorprendido",113
"3882","tibaduizar",113
"3883","traigo",113
"3884","trasladada",113
"3885","abelardo",112
"3886","afectarse",112
"3887","agrado",112
"3888","air",112
"3889","ajustar",112
"3890","alianza",112
"3891","antemano",112
"3892","cerón",112
"3893","comercio",112
"3894","contraprestación",112
"3895","diferenciar",112
"3896","extraer",112
"3897","filo",112
"3898","hábleno",112
"3899","inusual",112
"3900","lasa",112
"3901","macr",112
"3902","mander",112
"3903","modo",112
"3904","para",112
"3905","pared",112
"3906","pertinencia",112
"3907","poquitico",112
"3908","recorder",112
"3909","relevo",112
"3910","roberto",112
"3911","tatuaje",112
"3912","bajir",111
"3913","callar",111
"3914","casualmente",111
"3915","impuesto",111
"3916","incidente",111
"3917","nea",111
"3918","optar",111
"3919","osvaldo",111
"3920","requerido",111
"3921","responderle",111
"3922","restaurante",111
"3923","salento",111
"3924","sobrino",111
"3925","alterar",110
"3926","certificar",110
"3927","decidido",110
"3928","delictiva",110
"3929","direccionar",110
"3930","eleno",110
"3931","esp",110
"3932","estricto",110
"3933","geográfico",110
"3934","infiltrado",110
"3935","invitación",110
"3936","invito",110
"3937","metir",110
"3938","miic",110
"3939","roble",110
"3940","sustentar",110
"3941","trinidad",110
"3942","willingtonr",110
"3943","abrigado",109
"3944","acostumbrar",109
"3945","ahoritica",109
"3946","aprovecho",109
"3947","arturo",109
"3948","bsg",109
"3949","confirmado",109
"3950","conocedor",109
"3951","destinar",109
"3952","economía",109
"3953","elevar",109
"3954","espíritu",109
"3955","héroe",109
"3956","igual",109
"3957","manifestarle",109
"3958","paloma",109
"3959","panorama",109
"3960","reforzar",109
"3961","reinsertado",109
"3962","seccional",109
"3963","verdad",109
"3964","vicio",109
"3965","votación",109
"3966","acreditar",108
"3967","cl",108
"3968","comentarle",108
"3969","continuidad",108
"3970","coraje",108
"3971","deiva",108
"3972","derivar",108
"3973","dic",108
"3974","entiend",108
"3975","entregarle",108
"3976","entrenado",108
"3977","estándar",108
"3978","gozar",108
"3979","inmenso",108
"3980","ju",108
"3981","laborar",108
"3982","nar",108
"3983","observer",108
"3984","quedarme",108
"3985","recientemente",108
"3986","rescate",108
"3987","segundito",108
"3988","suasa",108
"3989","acusar",107
"3990","admitir",107
"3991","ajeno",107
"3992","carne",107
"3993","declare",107
"3994","enterrar-",107
"3995","granja",107
"3996","grito",107
"3997","habar",107
"3998","huera",107
"3999","hurto",107
"4000","indefensión",107
"4001","maltratar",107
"4002","meterse",107
"4003","ocasional",107
"4004","pensión",107
"4005","recojar",107
"4006","rutina",107
"4007","servidor",107
"4008","sig",107
"4009","acaso",106
"4010","agradecimiento",106
"4011","alcón",106
"4012","arrepentimiento",106
"4013","carabalir",106
"4014","concurrir",106
"4015","cura",106
"4016","demer",106
"4017","dividido",106
"4018","duque",106
"4019","elmer",106
"4020","ernesto",106
"4021","falsedad",106
"4022","jón",106
"4023","negativa",106
"4024","pertenecido",106
"4025","portaban",106
"4026","punta",106
"4027","sanación",106
"4028","sirva",106
"4029","tamayo",106
"4030","cartel",105
"4031","corel",105
"4032","dejarar",105
"4033","dispararar",105
"4034","escorpión",105
"4035","movido",105
"4036","natagar",105
"4037","norar",105
"4038","numeral",105
"4039","peaje",105
"4040","pregunte",105
"4041","proyección",105
"4042","prto",105
"4043","regañar",105
"4044","televisión",105
"4045","valledupar",105
"4046","verad",105
"4047","vierar",105
"4048","abstenerse",104
"4049","administrar",104
"4050","ao",104
"4051","cartageno",104
"4052","confrontar",104
"4053","fiber",104
"4054","francotirador",104
"4055","gana",104
"4056","generar-",104
"4057","gloria",104
"4058","iglesia",104
"4059","juliet",104
"4060","lavar",104
"4061","limitación",104
"4062","lle",104
"4063","pusir",104
"4064","recuperado",104
"4065","roa",104
"4066","simultánea",104
"4067","transparencia",104
"4068","acabado",103
"4069","ascendido",103
"4070","averiguación",103
"4071","balance",103
"4072","condujo",103
"4073","deducir",103
"4074","diseño",103
"4075","distinguí",103
"4076","entrega",103
"4077","hallazgo",103
"4078","heo",103
"4079","ición",103
"4080","incremento",103
"4081","internamente",103
"4082","interrogante",103
"4083","recepción",103
"4084","redundancia",103
"4085","tardar",103
"4086","agradecería",102
"4087","agresión",102
"4088","aguantar",102
"4089","alonso",102
"4090","certificado",102
"4091","contundente",102
"4092","cosita",102
"4093","empezado",102
"4094","escáner",102
"4095","estimar",102
"4096","gas",102
"4097","gremio",102
"4098","guajirar",102
"4099","hiciérar",102
"4100","hil",102
"4101","lesa",102
"4102","loco",102
"4103","militarmente",102
"4104","neutralizado",102
"4105","percatar",102
"4106","rarar",102
"4107","reposa",102
"4108","alo",101
"4109","cambuche",101
"4110","chinita",101
"4111","chino",101
"4112","contemplado",101
"4113","durar-",101
"4114","enfrentarse",101
"4115","espada",101
"4116","especialista",101
"4117","exámen",101
"4118","garante",101
"4119","ilustrar",101
"4120","inescindible",101
"4121","luna",101
"4122","modificación",101
"4123","notificado",101
"4124","ocasionar",101
"4125","odio",101
"4126","paréntesis",101
"4127","pobre",101
"4128","resultad",101
"4129","sensible",101
"4130","achagua",100
"4131","acostumbrado",100
"4132","alegría",100
"4133","armonización",100
"4134","arque",100
"4135","castigo",100
"4136","concentrarnos",100
"4137","conferencia",100
"4138","encontrarse",100
"4139","estancia",100
"4140","flecha",100
"4141","instituto",100
"4142","lear",100
"4143","lente",100
"4144","llar",100
"4145","oscurar",100
"4146","pormenor",100
"4147","precisado",100
"4148","quejar",100
"4149","razonabilidad",100
"4150","recinto",100
"4151","refiriéndo",100
"4152","sencilla",100
"4153","suministro",100
"4154","són",100
"4155","transición",100
"4156","volado",100
"4157","z",100
"4158","zambrano",100
